"LOCATION","ageRange","V1","obsValue","share"
"CAN","0-9",3982527,37589262,0.105948529
"CAN","10-19",4146397,37589262,0.110308018
"CAN","20-29",5102172,37589262,0.135734828
"CAN","30-39",5183959,37589262,0.137910635
"CAN","40-49",4817415,37589262,0.12815934
"CAN","50-59",5252293,37589262,0.139728548
"CAN","60-69",4608495,37589262,0.12260137
"CAN","70-79",2871037,37589262,0.07637918
"CAN","80+",1624967,37589262,0.043229553
"NL","0-9",45270,521542,0.086800296
"NL","10-19",53238,521542,0.102078068
"NL","20-29",57016,521542,0.109321972
"NL","30-39",59064,521542,0.113248789
"NL","40-49",68657,521542,0.131642322
"NL","50-59",84145,521542,0.161338876
"NL","60-69",81344,521542,0.155968263
"NL","70-79",50674,521542,0.097161878
"NL","80+",22134,521542,0.042439535
"PE","0-9",15761,156947,0.100422436
"PE","10-19",17956,156947,0.114408049
"PE","20-29",20432,156947,0.130184075
"PE","30-39",18133,156947,0.115535818
"PE","40-49",19831,156947,0.126354757
"PE","50-59",22609,156947,0.144054999
"PE","60-69",21273,156947,0.135542572
"PE","70-79",14019,156947,0.089323147
"PE","80+",6933,156947,0.044174148
"NS","0-9",89490,971395,0.092125243
"NS","10-19",98636,971395,0.101540568
"NS","20-29",124835,971395,0.128511059
"NS","30-39",116929,971395,0.120372248
"NS","40-49",118226,971395,0.121707441
"NS","50-59",146676,971395,0.150995218
"NS","60-69",139767,971395,0.143882767
"NS","70-79",90664,971395,0.093333814
"NS","80+",46172,971395,0.047531643
"NB","0-9",72564,776827,0.093410759
"NB","10-19",80500,776827,0.103626676
"NB","20-29",86908,776827,0.111875617
"NB","30-39",90537,776827,0.116547185
"NB","40-49",100288,776827,0.129099529
"NB","50-59",119296,776827,0.153568298
"NB","60-69",115293,776827,0.148415284
"NB","70-79",73855,776827,0.095072648
"NB","80+",37586,776827,0.048384003
"QC","0-9",897086,8484965,0.105726541
"QC","10-19",866061,8484965,0.102070073
"QC","20-29",1066598,8484965,0.125704467
"QC","30-39",1115805,8484965,0.131503783
"QC","40-49",1087073,8484965,0.128117559
"QC","50-59",1207213,8484965,0.142276721
"QC","60-69",1124019,8484965,0.132471849
"QC","70-79",722944,8484965,0.085202944
"QC","80+",398166,8484965,0.046926063
"ON","0-9",1492308,14566547,0.102447615
"ON","10-19",1649385,14566547,0.113231022
"ON","20-29",2085699,14566547,0.143184174
"ON","30-39",1975770,14566547,0.135637499
"ON","40-49",1856123,14566547,0.127423678
"ON","50-59",2059539,14566547,0.141388278
"ON","60-69",1716408,14566547,0.117832181
"ON","70-79",1088744,14566547,0.074742765
"ON","80+",642571,14566547,0.044112788
"MB","0-9",174657,1369465,0.127536666
"MB","10-19",172289,1369465,0.125807523
"MB","20-29",195383,1369465,0.142671043
"MB","30-39",190725,1369465,0.139269715
"MB","40-49",167925,1369465,0.122620877
"MB","50-59",172495,1369465,0.125957947
"MB","60-69",150364,1369465,0.109797622
"MB","70-79",91123,1369465,0.066539123
"MB","80+",54504,1369465,0.039799484
"SK","0-9",155592,1174462,0.132479382
"SK","10-19",146266,1174462,0.124538725
"SK","20-29",156246,1174462,0.133036233
"SK","30-39",171056,1174462,0.145646262
"SK","40-49",140743,1174462,0.119836146
"SK","50-59",146169,1174462,0.124456134
"SK","60-69",132823,1174462,0.113092633
"SK","70-79",75305,1174462,0.06411872
"SK","80+",50262,1174462,0.042795765
"AB","0-9",551472,4371316,0.126156974
"AB","10-19",523272,4371316,0.119705828
"AB","20-29",600162,4371316,0.137295496
"AB","30-39",708472,4371316,0.162072932
"AB","40-49",595819,4371316,0.136301974
"AB","50-59",553824,4371316,0.126695027
"AB","60-69",456499,4371316,0.104430565
"AB","70-79",245980,4371316,0.056271384
"AB","80+",135816,4371316,0.03106982
"BC","0-9",468921,5071336,0.092464984
"BC","10-19",521779,5071336,0.102887878
"BC","20-29",690552,5071336,0.136167669
"BC","30-39",717836,5071336,0.141547711
"BC","40-49",646413,5071336,0.127464045
"BC","50-59",723713,5071336,0.142706577
"BC","60-69",659506,5071336,0.13004581
"BC","70-79",413294,5071336,0.081496079
"BC","80+",229322,5071336,0.045219248
"YT","0-9",4757,40854,0.116439027
"YT","10-19",4194,40854,0.102658246
"YT","20-29",5222,40854,0.127821021
"YT","30-39",6754,40854,0.165320409
"YT","40-49",5708,40854,0.139717041
"YT","50-59",6040,40854,0.14784354
"YT","60-69",5179,40854,0.126768493
"YT","70-79",2220,40854,0.054339844
"YT","80+",780,40854,0.019092378
"NT","0-9",6112,44826,0.13634944
"NT","10-19",5743,44826,0.12811761
"NT","20-29",6794,44826,0.151563825
"NT","30-39",7097,44826,0.158323295
"NT","40-49",6190,44826,0.138089502
"NT","50-59",6577,44826,0.146722884
"NT","60-69",4250,44826,0.094811047
"NT","70-79",1531,44826,0.034154285
"NT","80+",532,44826,0.011868112
"NU","0-9",8537,38780,0.220139247
"NU","10-19",7078,38780,0.182516761
"NU","20-29",6325,38780,0.163099536
"NU","30-39",5781,38780,0.149071686
"NU","40-49",4419,38780,0.11395049
"NU","50-59",3997,38780,0.103068592
"NU","60-69",1770,38780,0.045642084
"NU","70-79",684,38780,0.017637958
"NU","80+",189,38780,0.004873646
"CAF","0-9",,,1
"CAF","10-19",,,0.054
"CAF","20-29",,,0.35
"CAF","30-39",,,0.318
"CAF","40-49",,,0.18
"CAF","50-59",,,0.096
"CAF","60-69",,,0.002
"CAF","70-79",,,0
"CAF","80+",,,0
